fecha,tweet
2018-06-03 16:05:09,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:05:09,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:05:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:04:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:04:08,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:04:07,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:03:13,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:03:12,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:02:04,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:02:03,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:02:02,"b'RT @noticias_altura: #Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s com\xe2\x80\xa6'"
2018-06-03 16:00:13,"b'#Volaris Costa Rica inaugur\xc3\xb3 su nueva ruta San Jos\xc3\xa9 Washington, DC, v\xc3\xada El Salvador, con el objetivo de unir a m\xc3\xa1s\xe2\x80\xa6 https://t.co/8R03Xi0VEH'"
2018-06-03 06:33:01,"b'Es incre\xc3\xadble viajar en avi\xc3\xb3n, una gran experiencia!! #volaris https://t.co/dayg7sVS3o'"
2018-06-02 23:15:41,b'Que es requisito que no se ba\xc3\xb1en los que van en el #volaris o que pex? \xf0\x9f\xa4\xa2\xf0\x9f\xa4\xa2'
2018-06-02 17:04:34,b'Arriving and take off!!\n#volaris #vivaaerobus\xe2\x80\xa6 https://t.co/RDiOsdNddY'
2018-06-02 16:42:30,"b'RT @spazos: Me sumo a la propuesta de @AlonsoRivasM Para #aeromexico, #interjet, #volaris\nPorfavor abran oferta agresiva para el periodo el\xe2\x80\xa6'"
2018-06-02 16:13:17,b'Mientras tu pagas la porqueria de sevicio de @viajaVolaris dejas pasar la oportunidad de ver a la #PanteraRosa comi\xe2\x80\xa6 https://t.co/2Y4F6XO0wL'
2018-06-02 16:04:39,b'#volaris se est\xc3\xa1 haciendo tu costumbre retrasar 4 horas tus vuelos @viajaVolaris'
2018-06-02 14:58:41,"b'Me sumo a la propuesta de @AlonsoRivasM Para #aeromexico, #interjet, #volaris\nPorfavor abran oferta agresiva para e\xe2\x80\xa6 https://t.co/MQECWuTvYY'"
2018-06-02 13:22:54,b'#Atanci\xc3\xb3naClientes #Volaris @viajaVolaris @flyvolaris cu\xc3\xa1l es el procedimiento para recuperar objetos perdidos en sus aviones .'
2018-06-02 11:46:29,b'#avgeek ex - #volaris. now #lanmei XU-963 Lanmei Airlines Airbus A319-132 Photo | https://t.co/GnfX08vCK2 https://t.co/oCL672TfXt'
2018-06-02 11:42:23,"b""RT @RubydElarOsa7: #volaris is the shitiest airline in the world!! #Volaris don't even offer a cup a water \xf0\x9f\x98\xa1 they will sell it to you for $\xe2\x80\xa6"""
2018-06-02 11:40:21,b'RT @kiingfierro: #Volaris charging us extra 500 pesos for 1/2 a pound over the weight limit \xf0\x9f\xa4\xa6\xf0\x9f\x8f\xbd\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f @volaris'
2018-06-01 17:54:26,b'RT @erimitzu: Por cuesti\xc3\xb3n de horario decid\xc3\xad volar con volaris nuevamente p\xc3\xa9sima experiencia .... de verdad #volaris @viajaVolaris .. p\xc3\xa9sim\xe2\x80\xa6'
2018-06-01 15:25:00,b'Por cuesti\xc3\xb3n de horario decid\xc3\xad volar con volaris nuevamente p\xc3\xa9sima experiencia .... de verdad #volaris\xe2\x80\xa6 https://t.co/HQaHV4YVht'
2018-06-01 13:22:06,b'#volaris NEVER AGAIN!'
2018-06-01 12:22:11,b'Ni caso tiene. No van a salir a tiempo. No van a ser justos en la fijaci\xc3\xb3n del precio de sus bebidas a bordo. No va\xe2\x80\xa6 https://t.co/7MB2hz1xqj'
2018-06-01 07:07:36,"b'Los de al lado se trajeron toda la dulcer\xc3\xada al avi\xc3\xb3n, pap\xc3\xa1s, rufles, cacahuates, sodas, y hasta dulces... Solo pido\xe2\x80\xa6 https://t.co/nfKqKIbe61'"
2018-06-01 04:19:40,"b'#Volaris 40 minutos tarde. Tienda de raya, 1 botella de agua CIEL $30.00. Esto si es la puritita  #MafiadelPoder'"
